,16.jpg,17.jpg,18.jpg,19.jpg
16.jpg,1,0.84375,0.5625,0.5
17.jpg,0.84375,1,0.5,0.53125
18.jpg,0.5625,0.5,1,0.6875
19.jpg,0.5,0.53125,0.6875,1
